name,categories,description,url,favorite,Date Added
n8n,Automation,"a fair-code licensed, node-based workflow automation tool designed for technical users, allowing them to build complex automations efficiently and integrate different apps to automate processes without intensive API managemen",n8n.io,Yes,"November 13, 2023 8:27 AM"
DALL.E 3,Generative Art,"AI tool by OpenAI that generates detailed images from textual descriptions, integrating with ChatGPT and reducing the need for complex prompt engineering.",Bing.com,Yes,"November 13, 2023 8:25 AM"
Code Interpreter,"Code, Data Analysis","a tool that simplifies data handling and analysis. It operates using plain English instructions, making it accessible to a wide range of users beyond those with technical expertise",chat.openai.com,Yes,"November 13, 2023 8:23 AM"
Zapier,"Automation, Productivity","an automation platform that facilitates workflow automation across over 5,000 app integrations, allowing users to automate their work and concentrate on essential tasks",zapier.com,Yes,"November 13, 2023 8:22 AM"
Make,"Automation, Productivity","user-friendly, no-code integration tool that allows users to visually create, build, and automate workflows, facilitating the automation of work processes",make.com,Yes,"November 13, 2023 8:21 AM"
Flot,Productivity,"AI-powered tool that provides writing assistance, paraphrasing, and multilingual support across various apps and websites using ChatGPT and GPT-4.",https://flot.ai/,Yes,"September 8, 2023 12:55 PM"
Cursor,Code,"an IDE that integrates AI for enhanced coding assistance, allowing developers to interact with, modify, and troubleshoot their projects.",https://www.cursor.sh/,Yes,"September 8, 2023 12:53 PM"
CastMagic,"Social Media, Video Creation","Instantly turns long audio into text, videos, and social media clips.",castmagic.io,Yes,"August 22, 2023 1:45 PM"
Riverside,"Social Media, Video Creation","Riverside.fm is an online platform for recording podcasts and videos, providing features like local recording, separate audio and video tracks, AI-powered transcribing, and text-based editing to enhance production quality and efficiency.",riverside.fm,Yes,"August 19, 2023 3:17 PM"
Framer,Web Development,Build websites,framer.com,Yes,"August 14, 2023 10:29 PM"
Broadcast,"CRM, Productivity","Streamline the drafting and distribution of weekly updates using this AI-automated tool. It offers collaboration features, readership insights, and workflow optimization across platforms like Slack and Email.",https://www.withbroadcast.com/,Yes,"August 11, 2023 12:45 PM"
Belva,"Phone Calls, Productivity",Empower an AI agent to manage your phone calls effectively—an ideal solution for call management optimization.,https://www.belva.ai/,Yes,"August 11, 2023 12:44 PM"
Make Landing,"Productivity, Web Development","AI-powered platform that generates landing pages based on user-provided project descriptions, complete with custom copy, logos, and illustrations.",https://makelanding.ai/,Yes,"August 8, 2023 12:19 PM"
Storyboard AI,"Marketing, Productivity","Reduce the time needed to create concepts, scripts, and full storyboards for video agencies and creators using AI.",https://storyboardhero.ai/,Yes,"August 4, 2023 12:49 PM"
Deadale,Video Editing,Create varied versions of a video by altering voice and visuals to suit different target audiences.,https://beta.deadale.ai/home,Yes,"August 4, 2023 12:47 PM"
OnBoard,"Code, Productivity",Turns any GitHub repo link into a subject matter expert. Ask the AI chat questions about the repo.,https://www.getonboard.dev/,Yes,"August 4, 2023 12:45 PM"
youai,"AI Tool Development, App Development, Productivity, Web Development","a platform that enables users to create and share their own AI tools for various purposes, including content creation, language learning, and professional services.", https://youai.ai/,Yes,"August 3, 2023 2:27 PM"
IconAI,Generative Art,IconAI generates professional icons in just a few clicks. It's a great tool for designers looking to create high-quality icons quickly and easily.,https://iconai.co/,Yes,"August 1, 2023 12:47 PM"
Forms.app,"Productivity, Surveys","is an online form builder offering a wide range of features including various form field types, conditional logic, payment acceptance, and integrations with over 500 apps for workflow automation.",https://forms.app/,Yes,"August 1, 2023 12:43 PM"
Contember,Web Development,Contember helps you go from concept to web app in seconds. It's a great tool for developers looking to streamline their web application development process.,https://www.contember.com/,Yes,"July 22, 2023 11:10 AM"
Bubble,"App Development, Web Development","a no-code platform that enables rapid development and deployment of interactive, multi-user web applications, offering total design freedom and robust, scalable infrastructure.",https://bubble.io/,Yes,"July 22, 2023 11:04 AM"
Momen,App Development,"Momen is a no-code platform that enables swift development and launch of scalable web applications, from MVPs to enterprise-grade SaaS products, with an intuitive drag-and-drop editor.",https://momen.app/,Yes,"July 22, 2023 11:03 AM"
Adaily,"Marketing, Productivity, Social Media","AI-powered tool providing instant, detailed marketing insights and case studies to ignite creativity and streamline research.",www.adaily.co/,Yes,"July 22, 2023 11:02 AM"
Folk,"CRM, Productivity, workspace","Folk is an AI-powered, lightweight, and customizable CRM system designed to automate tasks and enhance relationship management for teams.",https://www.folk.app/,Yes,"July 19, 2023 12:55 PM"
Noty,Meeting,Meeting transcription and summarization that automates your meetings workflow,https://noty.ai/,Yes,"July 17, 2023 11:52 AM"
Nolej,"Productivity, Video Creation","Create interactive e-learning content, generate assessments, and courseware from your provided content",https://nolej.io/,Yes,"July 4, 2023 1:55 AM"
Hify,Video Creation,Create customized and engaging sales videos directly from your browser,https://hify.io/,Yes,"July 4, 2023 1:53 AM"
Webbotify,"Chat with Files, Chatbots",Create custom AI chatbots trained on your data,https://www.webbotify.com/,Yes,"July 4, 2023 1:52 AM"
Dante AI,Chatbots,Create custom AI chatbots trained on your data,https://dante-ai.com/,Yes,"July 4, 2023 1:45 AM"
Lunacy,Design,AI design software with UI/UX design capabilities and built-in graphics,https://icons8.com/lunacy,Yes,"July 4, 2023 1:40 AM"
Wizard Autodesigner,"Design, Generative Art",AI innovation that generates multi-screen mockups for apps and websites from simple text,https://uizard.io/autodesigner/,Yes,"July 4, 2023 1:39 AM"
Definite,"Data, Productivity",AI data analyst that comprehends your data and provides immediate insights,https://www.definite.app/,Yes,"July 4, 2023 1:38 AM"
Coda,Productivity,"A tool that combines your text, data, and team collaboration into one document",https://coda.grsm.io/u4umphech84p,Yes,"June 22, 2023 2:28 PM"
Clipdrop,"Generative Art, Image Improvement","AI-powered ecosystem of apps, plugins, and resources designed to create stunning visuals in seconds",https://clipdrop.co/,Yes,"June 22, 2023 1:46 PM"
Saga,"Productivity, workspace","The AI-powered workspace integrating your notes, tasks, and tools for you and your team.",www.saga.so,Yes,"June 20, 2023 4:37 PM"
Hints,Productivity,Hints is an AI assistant that integrates with any software to empower more efficient use of productivity tools,https://hints.so,Yes,"June 14, 2023 6:34 PM"
Loopin,"Meeting, Productivity","Loopin is an AI meeting assistant for customer-facing teams, automating meeting summaries and recaps, while facilitating conversation",https://www.loopinhq.com/,Yes,"June 11, 2023 2:37 PM"
Canva Magic Edit & Eraser,Image Improvement,"Brush over area you want to change in an image, and describe what you want to see there instead",partner.canva.com/XYYYd3,Yes,"May 29, 2023 11:37 AM"
Microsoft Designer,"Generative Art, Image Improvement",Easily create graphics with this AI-powered tool,https://designer.microsoft.com/,Yes,"May 29, 2023 11:37 AM"
Rose.ai,"Code, Data, Finance","Cloud data platform. Find, engage, share and visualise data",https://rose.ai,Yes,"May 29, 2023 11:37 AM"
durable.co,"Productivity, Web Development",Build a website in 30 seconds using artificial intelligence,durable.co,Yes,"May 29, 2023 11:37 AM"
Stylized,"Design, Generative Art",Draw objects and AI will turn it into studio-quality output,stylized.ai,Yes,"May 29, 2023 11:37 AM"
Get Magical,Productivity,Use AI to speed up repetitive tasks at work,https://www.getmagical.com/,Yes,"May 29, 2023 11:37 AM"
Clipchamp,"Video Creation, Video Editing",Create any kind of video with free templates,clipchamp.com,Yes,"May 29, 2023 11:37 AM"
Github Copilot,Code,AI driven programming assistant that helps developers code faster,https://github.com/features/copilot,Yes,"May 29, 2023 11:37 AM"
Mem,Productivity,AI-powered workspace that's personalized to you (Think Evernote with AI),https://get.mem.ai,Yes,"May 29, 2023 11:37 AM"
